"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"01.01.2023 00:00 - 01.01.2023 00:15","n/e","n/e","n/e","9613","7997","7997"
"01.01.2023 00:15 - 01.01.2023 00:30","n/e","n/e","n/e","9582","8089","8089"
"01.01.2023 00:30 - 01.01.2023 00:45","n/e","n/e","n/e","9551","8170","8170"
"01.01.2023 00:45 - 01.01.2023 01:00","n/e","n/e","n/e","9522","8240","8240"
"01.01.2023 01:00 - 01.01.2023 01:15","n/e","n/e","n/e","9490","6993","6993"
"01.01.2023 01:15 - 01.01.2023 01:30","n/e","n/e","n/e","9463","7129","7129"
"01.01.2023 01:30 - 01.01.2023 01:45","n/e","n/e","n/e","9438","7239","7239"
"01.01.2023 01:45 - 01.01.2023 02:00","n/e","n/e","n/e","9414","7334","7334"
"01.01.2023 02:00 - 01.01.2023 02:15","n/e","n/e","n/e","9387","6128","6128"
"01.01.2023 02:15 - 01.01.2023 02:30","n/e","n/e","n/e","9367","6303","6303"
"01.01.2023 02:30 - 01.01.2023 02:45","n/e","n/e","n/e","9349","6468","6468"
"01.01.2023 02:45 - 01.01.2023 03:00","n/e","n/e","n/e","9333","6624","6624"
"01.01.2023 03:00 - 01.01.2023 03:15","n/e","n/e","n/e","9314","6178","6178"
"01.01.2023 03:15 - 01.01.2023 03:30","n/e","n/e","n/e","9304","6376","6376"
"01.01.2023 03:30 - 01.01.2023 03:45","n/e","n/e","n/e","9298","6570","6570"
"01.01.2023 03:45 - 01.01.2023 04:00","n/e","n/e","n/e","9295","6753","6753"
"01.01.2023 04:00 - 01.01.2023 04:15","n/e","n/e","n/e","9289","6963","6963"
"01.01.2023 04:15 - 01.01.2023 04:30","n/e","n/e","n/e","9293","7115","7115"
"01.01.2023 04:30 - 01.01.2023 04:45","n/e","n/e","n/e","9301","7248","7248"
"01.01.2023 04:45 - 01.01.2023 05:00","n/e","n/e","n/e","9309","7376","7376"
"01.01.2023 05:00 - 01.01.2023 05:15","n/e","n/e","n/e","9328","7461","7461"
"01.01.2023 05:15 - 01.01.2023 05:30","n/e","n/e","n/e","9324","7632","7632"
"01.01.2023 05:30 - 01.01.2023 05:45","n/e","n/e","n/e","9311","7844","7844"
"01.01.2023 05:45 - 01.01.2023 06:00","n/e","n/e","n/e","9295","8082","8082"
"01.01.2023 06:00 - 01.01.2023 06:15","n/e","n/e","n/e","9251","8381","8381"
"01.01.2023 06:15 - 01.01.2023 06:30","n/e","n/e","n/e","9257","8609","8609"
"01.01.2023 06:30 - 01.01.2023 06:45","n/e","n/e","n/e","9285","8803","8803"
"01.01.2023 06:45 - 01.01.2023 07:00","n/e","n/e","n/e","9334","8962","8962"
"01.01.2023 07:00 - 01.01.2023 07:15","n/e","n/e","n/e","9378","5490","5490"
"01.01.2023 07:15 - 01.01.2023 07:30","n/e","n/e","n/e","9457","5794","5794"
"01.01.2023 07:30 - 01.01.2023 07:45","n/e","n/e","n/e","9545","6082","6082"
"01.01.2023 07:45 - 01.01.2023 08:00","n/e","n/e","n/e","9640","6360","6360"
"01.01.2023 08:00 - 01.01.2023 08:15","n/e","n/e","n/e","9741","5962","5962"
"01.01.2023 08:15 - 01.01.2023 08:30","n/e","n/e","n/e","9841","6298","6298"
"01.01.2023 08:30 - 01.01.2023 08:45","n/e","n/e","n/e","9939","6607","6607"
"01.01.2023 08:45 - 01.01.2023 09:00","n/e","n/e","n/e","10035","6898","6898"
"01.01.2023 09:00 - 01.01.2023 09:15","n/e","n/e","n/e","10141","7213","5978"
"01.01.2023 09:15 - 01.01.2023 09:30","n/e","n/e","n/e","10231","7489","6344"
"01.01.2023 09:30 - 01.01.2023 09:45","n/e","n/e","n/e","10315","7763","6662"
